cs_101_ocena,it_101_ocena,ma_101_ocena,cs_115_izostanci,cs_115_polozen,cs_115_ocena
8,10,9,10,1,5
9,10,6,13,2,9
9,10,9,7,2,7
6,6,8,10,0,9
7,5,7,12,1,8
10,7,6,14,2,8
5,6,10,9,1,6
10,7,5,4,2,6
7,9,9,10,1,5
9,6,10,15,2,6
7,9,5,7,2,9
7,10,7,8,2,10
6,10,5,13,2,8
6,9,6,2,1,8
5,5,8,15,1,7
5,10,9,2,1,5
5,10,10,4,2,8
7,7,6,1,0,6
9,5,9,11,1,6
8,5,5,13,2,6
9,10,9,3,2,5
6,5,9,5,0,7
5,6,5,11,1,8
10,7,10,15,1,8
9,9,9,14,1,9
9,5,9,5,1,7
6,9,8,1,2,10
9,10,5,5,1,10
8,9,6,13,2,8
7,7,7,6,1,10
8,10,8,9,1,9
10,6,7,4,1,10
7,9,10,2,2,6
5,9,6,6,1,9
8,5,5,4,2,5
9,10,5,11,1,10
9,5,6,12,1,7
10,7,6,7,2,8
9,5,5,6,2,8
9,5,10,9,2,6
10,6,6,15,1,10
9,6,9,5,1,9
5,9,7,3,1,10
6,5,5,6,0,6
10,9,5,10,2,9
9,9,8,8,1,9
7,10,5,9,1,10
5,10,6,12,2,7
8,5,8,11,1,6
7,8,10,4,0,9
6,6,9,4,1,6
9,9,7,5,2,9
9,6,9,2,1,10
7,6,10,15,0,8
6,8,8,1,1,8
10,6,5,2,1,9
8,9,8,5,1,7
9,7,7,4,1,8
9,9,8,2,1,6
9,6,10,15,2,9
8,9,8,2,2,5
10,7,10,8,2,7
8,7,10,3,1,7
10,6,9,1,2,7
9,9,8,4,1,6
9,10,8,14,2,8
10,7,5,11,2,6
6,6,5,10,1,10
10,5,5,11,1,9
6,8,5,4,0,5
7,7,9,7,1,9
7,6,9,2,1,9
10,10,6,11,2,9
9,7,9,0,5,8
6,5,6,11,1,8
10,9,7,7,1,10
9,8,5,7,1,5
6,5,10,1,0,7
9,8,5,7,2,9
9,7,9,7,1,7
8,10,9,15,2,7
8,10,9,14,1,7
7,9,5,5,2,6
7,5,10,7,0,5
6,10,6,2,1,10
8,9,10,0,5,10
10,5,9,3,2,6
10,8,8,12,2,9
10,6,7,9,2,9
10,10,8,8,1,6
9,10,7,0,5,9
8,8,6,13,2,7
7,6,5,4,0,7
